Index,Brand,Model,Motor,Year,Mileage,Gear,Fuel,Price
1,PEUGEOT,2008 phase 2,1.2 PURETECH 130 GT LINE,2020,61424,Automatique,Essence,22680
2,PEUGEOT,208 II,1.2 PURETECH 100 ALLURE,2022,23724,Manuelle,Essence,21780
3,PEUGEOT,308 (2E GENERATION),ACTIVE 1.2 PURETECH 110CH MANUELLE,2021,26482,Manuelle,Essence,20130
4,PEUGEOT,208 II,1.2 PURETECH 100 ALLURE,2021,45012,Manuelle,Essence,21760
5,PEUGEOT,208 II,1.2 PURETECH 100 ALLURE PACK,2022,19871,Automatique,Essence,24710
6,PEUGEOT,308 II phase 2,1.2 PURETECH 130 GT,2021,20680,Manuelle,Essence,25190
7,PEUGEOT,208 II,1.2 PURETECH 100 ALLURE,2022,51684,Manuelle,Essence,21930
8,PEUGEOT,3008 II phase 2,1.2 PURETECH 130 GT PACK,2022,19085,Automatique,Essence,40000
9,PEUGEOT,208 II,1.2 PURETECH 100 ALLURE PACK,2022,28576,Manuelle,Essence,20500
10,PEUGEOT,208 II,1.2 PURETECH 100 ALLURE,2022,46124,Manuelle,Essence,21380
11,PEUGEOT,208 II,1.2 PURETECH 100 ALLURE,2021,49609,Automatique,Essence,22780
12,PEUGEOT,208 phase 2,1.2 PURETECH 82 SIGNATURE,2020,14048,Manuelle,Essence,16560
13,PEUGEOT,208 II,1.2 PURETECH 75 STYLE,2023,17694,Manuelle,Essence,17370
14,PEUGEOT,208 II,1.2 PURETECH 100 ALLURE PACK,2022,25660,Manuelle,Essence,23760
15,PEUGEOT,208 II,1.2 PURETECH 100 STYLE,2023,23522,Manuelle,Essence,20940
16,PEUGEOT,2008 II,1.2 PURETECH 130 ALLURE,2023,16480,Automatique,Essence,32140
17,PEUGEOT,208 phase 2,1.2 PURETECH 82 SIGNATURE,2020,32303,Manuelle,Essence,15600
18,PEUGEOT,208 II,1.2 PURETECH 130 GT LINE,2020,33925,Automatique,Essence,25860
19,PEUGEOT,308 (3E GENERATION) SW,SW 1.2 PURETECH 130 GT EAT8,2023,20191,Automatique,Essence,34000
20,PEUGEOT,2008 II,1.2 PURETECH 100 ALLURE,2023,17764,Manuelle,Essence,26050
21,PEUGEOT,208 phase 2,1.2 PURETECH 82 ALLURE,2020,25283,Manuelle,Essence,15350
22,PEUGEOT,5008 II,1.2 PURETECH 130 ACTIVE,2020,53067,Manuelle,Essence,31360
23,PEUGEOT,208 II,1.2 PURETECH 100 STYLE,2023,12572,Manuelle,Essence,23310
24,PEUGEOT,508 II,1.6 PURETECH 180 ACTIVE,2022,18457,Automatique,Essence,35090
25,PEUGEOT,2008 II,1.2 PURETECH 100 ALLURE,2021,39795,Manuelle,Essence,24960
26,PEUGEOT,308 II phase 2,1.2 PURETECH 130 GT PACK,2021,69286,Automatique,Essence,24870
27,PEUGEOT,3008 II phase 2,1.2 PURETECH 130 ALLURE PACK,2022,66672,Manuelle,Essence,33290
28,PEUGEOT,208 phase 2,1.2 PURETECH 82 SIGNATURE,2020,14250,Manuelle,Essence,17890
29,PEUGEOT,208 (2E GENERATION),1.2 PURETECH 100 ALLURE PACK,2023,12812,Manuelle,Essence,25900
30,PEUGEOT,208 II,1.2 PURETECH 100 GT,2022,17120,Manuelle,Essence,26620
